Source ,American Community Survey ,,,
Note ,Disability Age Breakdown ,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B18101&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Values
18001,"Adams County, Indiana",2015,Total ,34218
18003,"Allen County, Indiana",2015,Total ,359824
18005,"Bartholomew County, Indiana",2015,Total ,78566
18007,"Benton County, Indiana",2015,Total ,8667
18009,"Blackford County, Indiana",2015,Total ,12304
18011,"Boone County, Indiana",2015,Total ,59913
18013,"Brown County, Indiana",2015,Total ,14880
18015,"Carroll County, Indiana",2015,Total ,19899
18017,"Cass County, Indiana",2015,Total ,37820
18019,"Clark County, Indiana",2015,Total ,111627
18021,"Clay County, Indiana",2015,Total ,26366
18023,"Clinton County, Indiana",2015,Total ,32184
18025,"Crawford County, Indiana",2015,Total ,10532
18027,"Daviess County, Indiana",2015,Total ,31951
18029,"Dearborn County, Indiana",2015,Total ,49118
18031,"Decatur County, Indiana",2015,Total ,25922
18033,"DeKalb County, Indiana",2015,Total ,42076
18035,"Delaware County, Indiana",2015,Total ,115861
18037,"Dubois County, Indiana",2015,Total ,41495
18039,"Elkhart County, Indiana",2015,Total ,198214
18041,"Fayette County, Indiana",2015,Total ,23452
18043,"Floyd County, Indiana",2015,Total ,74903
18045,"Fountain County, Indiana",2015,Total ,16715
18047,"Franklin County, Indiana",2015,Total ,22854
18049,"Fulton County, Indiana",2015,Total ,20298
18051,"Gibson County, Indiana",2015,Total ,33115
18053,"Grant County, Indiana",2015,Total ,67943
18055,"Greene County, Indiana",2015,Total ,32532
18057,"Hamilton County, Indiana",2015,Total ,295067
18059,"Hancock County, Indiana",2015,Total ,70706
18061,"Harrison County, Indiana",2015,Total ,39023
18063,"Hendricks County, Indiana",2015,Total ,150597
18065,"Henry County, Indiana",2015,Total ,45929
18067,"Howard County, Indiana",2015,Total ,81829
18069,"Huntington County, Indiana",2015,Total ,36376
18071,"Jackson County, Indiana",2015,Total ,42839
18073,"Jasper County, Indiana",2015,Total ,33101
18075,"Jay County, Indiana",2015,Total ,21039
18077,"Jefferson County, Indiana",2015,Total ,31004
18079,"Jennings County, Indiana",2015,Total ,27859
18081,"Johnson County, Indiana",2015,Total ,143494
18083,"Knox County, Indiana",2015,Total ,37249
18085,"Kosciusko County, Indiana",2015,Total ,77233
18087,"LaGrange County, Indiana",2015,Total ,37916
18089,"Lake County, Indiana",2015,Total ,488067
18091,"LaPorte County, Indiana",2015,Total ,102412
18093,"Lawrence County, Indiana",2015,Total ,45141
18095,"Madison County, Indiana",2015,Total ,125139
18097,"Marion County, Indiana",2015,Total ,916471
18099,"Marshall County, Indiana",2015,Total ,46483
18101,"Martin County, Indiana",2015,Total ,10169
18103,"Miami County, Indiana",2015,Total ,34162
18105,"Monroe County, Indiana",2015,Total ,141477
18107,"Montgomery County, Indiana",2015,Total ,37643
18109,"Morgan County, Indiana",2015,Total ,68670
18111,"Newton County, Indiana",2015,Total ,13854
18113,"Noble County, Indiana",2015,Total ,46727
18115,"Ohio County, Indiana",2015,Total ,5981
18117,"Orange County, Indiana",2015,Total ,19472
