Source ,American Community Survey ,,,
Note ,Household Under 18 breakdown by type,,,
URL,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_B09005&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
0,United States ,2015,Total ,37767197
18000,Indiana ,2015,Total ,808126
18001,"Adams County, Indiana",2015,Total ,4496
18003,"Allen County, Indiana",2015,Total ,47080
18005,"Bartholomew County, Indiana",2015,Total ,10040
18007,"Benton County, Indiana",2015,Total ,1056
18009,"Blackford County, Indiana",2015,Total ,1615
18011,"Boone County, Indiana",2015,Total ,8551
18013,"Brown County, Indiana",2015,Total ,1682
18015,"Carroll County, Indiana",2015,Total ,2416
18017,"Cass County, Indiana",2015,Total ,4789
18019,"Clark County, Indiana",2015,Total ,13408
18021,"Clay County, Indiana",2015,Total ,3610
18023,"Clinton County, Indiana",2015,Total ,3900
18025,"Crawford County, Indiana",2015,Total ,1074
18027,"Daviess County, Indiana",2015,Total ,4237
18029,"Dearborn County, Indiana",2015,Total ,6093
18031,"Decatur County, Indiana",2015,Total ,3385
18033,"DeKalb County, Indiana",2015,Total ,5102
18035,"Delaware County, Indiana",2015,Total ,12218
18037,"Dubois County, Indiana",2015,Total ,5327
18039,"Elkhart County, Indiana",2015,Total ,26556
18041,"Fayette County, Indiana",2015,Total ,2913
18043,"Floyd County, Indiana",2015,Total ,9308
18045,"Fountain County, Indiana",2015,Total ,1960
18047,"Franklin County, Indiana",2015,Total ,3114
18049,"Fulton County, Indiana",2015,Total ,2508
18051,"Gibson County, Indiana",2015,Total ,4153
18053,"Grant County, Indiana",2015,Total ,7625
18055,"Greene County, Indiana",2015,Total ,3814
18057,"Hamilton County, Indiana",2015,Total ,46008
18059,"Hancock County, Indiana",2015,Total ,9035
18061,"Harrison County, Indiana",2015,Total ,4761
18063,"Hendricks County, Indiana",2015,Total ,21205
18065,"Henry County, Indiana",2015,Total ,5205
18067,"Howard County, Indiana",2015,Total ,10255
18069,"Huntington County, Indiana",2015,Total ,4257
18071,"Jackson County, Indiana",2015,Total ,5632
18073,"Jasper County, Indiana",2015,Total ,4187
18075,"Jay County, Indiana",2015,Total ,2500
18077,"Jefferson County, Indiana",2015,Total ,4240
18079,"Jennings County, Indiana",2015,Total ,3490
18081,"Johnson County, Indiana",2015,Total ,19976
18083,"Knox County, Indiana",2015,Total ,4463
18085,"Kosciusko County, Indiana",2015,Total ,9882
18087,"LaGrange County, Indiana",2015,Total ,4793
18089,"Lake County, Indiana",2015,Total ,61410
18091,"LaPorte County, Indiana",2015,Total ,12643
18093,"Lawrence County, Indiana",2015,Total ,5826
18095,"Madison County, Indiana",2015,Total ,15741
18097,"Marion County, Indiana",2015,Total ,111249
18099,"Marshall County, Indiana",2015,Total ,5700
18101,"Martin County, Indiana",2015,Total ,1143
18103,"Miami County, Indiana",2015,Total ,4160
18105,"Monroe County, Indiana",2015,Total ,12566
18107,"Montgomery County, Indiana",2015,Total ,4801
18109,"Morgan County, Indiana",2015,Total ,8681
18111,"Newton County, Indiana",2015,Total ,1528
18113,"Noble County, Indiana",2015,Total ,6281
18115,"Ohio County, Indiana",2015,Total ,657
18117,"Orange County, Indiana",2015,Total ,2401
