Source ,Indiana Natality Report - 2015: Table 32. Outcome Indicator Percentage by County of Residence and Race/ Ethnicity of Mother ,,,
Note,Birth Measures,,,
URL ,http://www.in.gov/isdh/reports/natality/2015/tbl32_t.htm,,,
,,,,
Fips ,Geography,Years ,Statistics ,Value 
18000,INDIANA,2015,% Low Birthweight ,8
18001,Adams,2015,% Low Birthweight ,8.2
18003,Allen,2015,% Low Birthweight ,8.9
18005,Bartholomew,2015,% Low Birthweight ,8.4
18007,Benton,2015,% Low Birthweight ,5.6
18009,Blackford,2015,% Low Birthweight ,9.9
18011,Boone,2015,% Low Birthweight ,8
18013,Brown,2015,% Low Birthweight ,6.7
18015,Carroll,2015,% Low Birthweight ,9.7
18017,Cass,2015,% Low Birthweight ,8.9
18019,Clark,2015,% Low Birthweight ,7.7
18021,Clay,2015,% Low Birthweight ,7.2
18023,Clinton,2015,% Low Birthweight ,6.2
18025,Crawford,2015,% Low Birthweight ,6.8
18027,Daviess,2015,% Low Birthweight ,6.4
18029,Dearborn,2015,% Low Birthweight ,8.2
18031,Decatur,2015,% Low Birthweight ,9.4
18033,DeKalb,2015,% Low Birthweight ,6.6
18035,Delaware,2015,% Low Birthweight ,10.7
18037,Dubois,2015,% Low Birthweight ,7.7
18039,Elkhart,2015,% Low Birthweight ,7.9
18041,Fayette,2015,% Low Birthweight ,9.7
18043,Floyd,2015,% Low Birthweight ,7.2
18045,Fountain,2015,% Low Birthweight ,8.5
18047,Franklin,2015,% Low Birthweight ,7.5
18049,Fulton,2015,% Low Birthweight ,7.7
18051,Gibson,2015,% Low Birthweight ,7
18053,Grant,2015,% Low Birthweight ,10.8
18055,Greene,2015,% Low Birthweight ,7.7
18057,Hamilton,2015,% Low Birthweight ,6.6
18059,Hancock,2015,% Low Birthweight ,7.8
18061,Harrison,2015,% Low Birthweight ,7.3
18063,Hendricks,2015,% Low Birthweight ,6
18065,Henry,2015,% Low Birthweight ,8.6
18067,Howard,2015,% Low Birthweight ,8.9
18069,Huntington,2015,% Low Birthweight ,9.4
18071,Jackson,2015,% Low Birthweight ,5.9
18073,Jasper,2015,% Low Birthweight ,7.6
18075,Jay,2015,% Low Birthweight ,7.8
18077,Jefferson,2015,% Low Birthweight ,8.9
18079,Jennings,2015,% Low Birthweight ,7
18081,Johnson,2015,% Low Birthweight ,7.8
18083,Knox,2015,% Low Birthweight ,10
18085,Kosciusko,2015,% Low Birthweight ,6
18087,LaGrange,2015,% Low Birthweight ,4.5
18089,Lake,2015,% Low Birthweight ,8.1
18091,LaPorte,2015,% Low Birthweight ,9
18093,Lawrence,2015,% Low Birthweight ,7.4
18095,Madison,2015,% Low Birthweight ,8.9
18097,Marion,2015,% Low Birthweight ,9.2
18099,Marshall,2015,% Low Birthweight ,6.6
18101,Martin,2015,% Low Birthweight ,10
18103,Miami,2015,% Low Birthweight ,8
18105,Monroe,2015,% Low Birthweight ,6.1
18107,Montgomery,2015,% Low Birthweight ,6.6
18109,Morgan,2015,% Low Birthweight ,8.8
